file_name,line_count
Modules/Asset/Resources/lang/hi/app.php,64
Modules/Asset/Resources/lang/hi/email.php,4
Modules/Asset/Resources/lang/hi/modules.php,7
Modules/Asset/Resources/lang/id/app.php,64
Modules/Asset/Resources/lang/id/email.php,4
Modules/Asset/Resources/lang/id/modules.php,7
Modules/Asset/Resources/lang/it/app.php,64
Modules/Asset/Resources/lang/it/email.php,4
Modules/Asset/Resources/lang/it/modules.php,7
Modules/Asset/Resources/lang/ja/app.php,64
Modules/Asset/Resources/lang/ja/email.php,4
Modules/Asset/Resources/lang/ja/modules.php,7
Modules/Asset/Resources/lang/ka/app.php,64
Modules/Asset/Resources/lang/ka/email.php,4
Modules/Asset/Resources/lang/ka/modules.php,7
Modules/Asset/Resources/lang/ko/app.php,64
Modules/Asset/Resources/lang/ko/email.php,4
Modules/Asset/Resources/lang/ko/modules.php,7
Modules/Asset/Resources/lang/nl/app.php,64
Modules/Asset/Resources/lang/nl/email.php,4
Modules/Asset/Resources/lang/nl/modules.php,7
Modules/Asset/Resources/lang/pl/app.php,64
Modules/Asset/Resources/lang/pl/email.php,4
Modules/Asset/Resources/lang/pl/modules.php,7
Modules/Asset/Resources/lang/pt-br/app.php,64
Modules/Asset/Resources/lang/pt-br/email.php,4
Modules/Asset/Resources/lang/pt-br/modules.php,7
Modules/Asset/Resources/lang/pt/app.php,64
Modules/Asset/Resources/lang/pt/email.php,4
Modules/Asset/Resources/lang/pt/modules.php,7
Modules/Asset/Resources/lang/ro/app.php,64
Modules/Asset/Resources/lang/ro/email.php,4
Modules/Asset/Resources/lang/ro/modules.php,7
Modules/Asset/Resources/lang/ru/app.php,64
Modules/Asset/Resources/lang/ru/email.php,4
Modules/Asset/Resources/lang/ru/modules.php,7
Modules/Asset/Resources/lang/sq/app.php,64
Modules/Asset/Resources/lang/sq/email.php,4
Modules/Asset/Resources/lang/sq/modules.php,7
Modules/Asset/Resources/lang/sr/app.php,64
Modules/Asset/Resources/lang/sr/email.php,4
Modules/Asset/Resources/lang/sr/modules.php,7
Modules/Asset/Resources/lang/th/app.php,64
Modules/Asset/Resources/lang/th/email.php,4
Modules/Asset/Resources/lang/th/modules.php,7
Modules/Asset/Resources/lang/tr/app.php,64
Modules/Asset/Resources/lang/tr/email.php,4
Modules/Asset/Resources/lang/tr/modules.php,7
Modules/Asset/Resources/lang/vi/app.php,64
Modules/Asset/Resources/lang/vi/email.php,4
Modules/Asset/Resources/lang/vi/modules.php,7
Modules/Asset/Resources/lang/zh-CN/app.php,64
Modules/Asset/Resources/lang/zh-CN/email.php,4
Modules/Asset/Resources/lang/zh-CN/modules.php,7
Modules/Asset/Resources/lang/zh-TW/app.php,64
