"Path","Files","Lines"
"Modules/Warehouse/Services/CreditNoteWarehouseStockService.php","1","242"
"Modules/Warehouse/Http/Controllers/WarehouseStockController.php","1","242"
"Modules/Payroll/DataTables/PayrollDataTable.php","1","238"
"app/Notifications/MonthlyAttendance.php","1","237"
"app/Exports/ShiftScheduleExport.php","1","235"
"app/Traits/OverviewDashboard.php","1","234"
"Modules/Pricing/Http/Controllers/CompanyPricingController.php","1","233"
"app/Http/Controllers/AwardController.php","1","233"
"app/Console/Kernel.php","1","233"
"Modules/Sms/Enums/SmsNotificationSlug.php","1","232"
"database/migrations/2022_09_01_000000_add_company_id_in_all_table.php","1","231"
"app/Traits/CustomFieldsTrait.php","1","231"
"app/Http/Controllers/GdprSettingsController.php","1","231"
"Modules/Zoom/Http/Controllers/ZoomWebhookController.php","1","230"
"app/Models/Estimate.php","1","230"
"app/Http/Controllers/LanguageSettingController.php","1","230"
"app/Http/Controllers/ProjectTemplateTaskController.php","1","230"
"Modules/EInvoice/Helper/XmlGenerator/Romania.php","1","230"
"app/Http/Controllers/AccountBaseController.php","1","229"
"app/Http/Controllers/CustomFieldController.php","1","227"
"app/DataTables/SuperAdmin/PackageDataTable.php","1","227"
"app/Models/Payment.php","1","226"
"app/Http/Controllers/CurrencySettingController.php","1","226"
"app/Jobs/ImportProductJob.php","1","226"
"app/Console/Commands/AutoCreateRecurringInvoices.php","1","225"
"Modules/Purchase/DataTables/PurchaseBillDataTable.php","1","225"
"Modules/QRCode/Traits/QrTypes.php","1","225"
"Modules/Recruit/Database/Seeders/JobApplicationsTableSeeder.php","1","224"
"Modules/Production/Http/Controllers/ProductionOrderController.php","1","223"
"app/Exports/LeaveExport.php","1","222"
"Modules/Performance/Http/Controllers/ActionController.php","1","222"
"Modules/QRCode/Database/factories/QrCodeDataFactory.php","1","222"
"Modules/Webhooks/DataTables/WebhookDataTable.php","1","221"
"Modules/Payroll/DataTables/EmployeeSalaryDataTable.php","1","221"
"app/DataTables/NoticeBoardDataTable.php","1","221"
"app/DataTables/AttendanceReportDataTable.php","1","221"
"Modules/Onboarding/Database/Migrations/2024_04_26_115952_create_onboarding_tasks_table.php","1","221"
"app/Observers/DealObserver.php","1","220"
"config/log-viewer.php","1","220"
"app/Models/Expense.php","1","220"
"app/Observers/ProjectObserver.php","1","219"
"app/Http/Controllers/LeadNoteController.php","1","218"
"app/Models/Lead.php","1","218"
"app/DataTables/ProjectNotesDataTable.php","1","218"
"app/Http/Controllers/SuperAdmin/CustomFieldController.php","1","218"
"app/Http/Controllers/SuperAdmin/GlobalCurrencySettingController.php","1","218"
"Modules/Purchase/DataTables/SalesShipmentDataTable.php","1","218"
"app/Exports/LeaveQuotaReportExport.php","1","218"
"app/Console/Commands/CarryForwardLeaves.php","1","216"
"app/Observers/TicketObserver.php","1","216"
"app/Http/Controllers/SuperAdmin/MollieController.php","1","216"
"app/Models/PaymentGatewayCredentials.php","1","216"
"config/debugbar.php","1","216"
"Modules/Recruit/Routes/web.php","1","214"
"database/migrations/2022_09_01_060824_create_appreciations_table.php","1","213"
"Modules/Pricing/Http/Controllers/VolumeRuleController.php","1","213"
"Modules/Performance/Database/Migrations/2025_04_01_070938_add_next_check_in_date.php","1","212"
"app/Http/Controllers/MyCalendarController.php","1","212"
"app/DataTables/AppreciationsDataTable.php","1","211"
"app/DataTables/RecurringExpensesDataTable.php","1","211"
"Modules/Affiliate/DataTables/PayoutsDataTable.php","1","211"
"app/Notifications/PromotionUpdated.php","1","210"
"app/Models/LeaveType.php","1","210"
"app/Http/Controllers/Payment/SquareController.php","1","210"
"Modules/Affiliate/Http/Controllers/PayoutController.php","1","209"
"app/Http/Controllers/TaskLabelController.php","1","209"
"app/Http/Controllers/ProjectMilestoneController.php","1","209"
"Modules/Biometric/Http/Controllers/ZKTecoController.php","1","208"
"Modules/Onboarding/Http/Controllers/OnboardingSettingController.php","1","208"
"app/Models/Contract.php","1","206"
"app/Http/Controllers/SuperAdmin/PayFastWebhookController.php","1","205"
